date,geounit,ncumul_delivered,ncumul_vacc,ncumul_vacc_per100pop,ncumul_fully_vacc,ncumul_fully_vacc_per100pop
2021-02-28,UR,4925,4501,12.26,1809,4.93
2021-02-28,VD,91650,80114,9.95,25111,3.12
2021-02-28,VS,40725,33875,9.8,13115,3.8
2021-02-28,ZG,14775,15643,12.26,6950,5.44
2021-02-28,ZH,135125,121424,7.89,34886,2.27
2021-03-03,AG,80375,69432,10.12,20878,3.04
2021-03-03,AI,2275,2286,14.17,1022,6.34
2021-03-03,AR,9145,6575,11.86,2904,5.24
2021-03-03,BE,136575,97503,9.38,31812,3.06
2021-03-03,BL,49925,32146,11.11,10000,3.45
2021-03-03,BS,31675,25167,12.85,10682,5.45
2021-03-03,CH,1184775,882184,10.25,299748,3.48
2021-03-03,CHFL,1190300,884905,10.24,300568,3.48
2021-03-03,FL,5525,2721,7.02,820,2.12
2021-03-03,FR,44300,34152,10.61,10049,3.12
2021-03-03,GE,68100,56457,11.2,18762,3.72
2021-03-03,GL,5930,4783,11.78,2298,5.66
2021-03-03,GR,33650,21749,10.93,7281,3.66
2021-03-03,JU,10575,8286,11.26,2722,3.7
2021-03-03,LU,60575,39994,9.68,18741,4.54
2021-03-03,NE,27925,19061,10.8,4242,2.4
2021-03-03,NW,6215,6350,14.74,3096,7.19
2021-03-03,OW,5810,4451,11.73,2045,5.39
2021-03-03,SG,75800,48322,9.46,12175,2.38
2021-03-03,SH,14375,11857,14.4,4348,5.28
2021-03-03,SO,37100,33308,12.1,13801,5.01
2021-03-03,SZ,20175,15146,9.44,4742,2.95
2021-03-03,TG,41150,28009,10.02,9107,3.26
2021-03-03,TI,61775,39957,11.37,15998,4.55
2021-03-03,UR,6700,4922,13.41,1922,5.24
2021-03-03,VD,106450,86891,10.79,27650,3.43
2021-03-03,VS,54375,38770,11.22,14245,4.12
2021-03-03,ZG,18325,16168,12.67,6979,5.47
2021-03-03,ZH,175500,130442,8.47,42247,2.74
2021-03-07,AG,87675,75204,10.97,23406,3.41
2021-03-07,AI,2275,2318,14.37,1022,6.34
2021-03-07,AR,9145,6652,12,2942,5.31
2021-03-07,BE,136575,103990,10,35813,3.45
2021-03-07,BL,49925,33722,11.65,10321,3.57
2021-03-07,BS,31675,25848,13.2,10683,5.45
2021-03-07,CH,1212675,948678,11.02,331765,3.86
2021-03-07,CHFL,1218200,951804,11.01,332585,3.85
2021-03-07,FL,5525,3126,8.07,820,2.12
